(5268, '2021:08:17:15:39:36', '2021:08:17:15:39:36', 'L')
(5280, '2021:08:17:15:39:36', '2021:08:17:15:39:36', 'L')
(5282, '2021:08:17:15:39:36', '2021:08:17:15:39:36', 'L')
(5286, '2021:08:17:15:39:36', '2021:08:17:15:39:36', 'L')
(5293, '2021:08:17:15:39:36', '2021:08:17:15:39:36', 'L')
(5303, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5304, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5309, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5311, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5323, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5327, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5338, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5339, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5342, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5346, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5352, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5356, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5359, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5364, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5371, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'R')
(5373, '2021:08:17:15:40:29', '2021:08:17:15:40:29', 'L')
(5377, '2021:08:17:15:40:29', '2021:08:17:15:40:30', 'R')
(5378, '2021:08:17:15:40:30', '2021:08:17:15:40:30', 'R')
(5379, '2021:08:17:15:40:30', '2021:08:17:15:40:30', 'R')
(5381, '2021:08:17:15:40:30', '2021:08:17:15:40:30', 'L')
(5389, '2021:08:17:15:40:30', '2021:08:17:15:40:30', 'L')
(5404, '2021:08:17:15:41:13', '2021:08:17:15:41:13', 'L')
(5408, '2021:08:17:15:41:13', '2021:08:17:15:41:13', 'R')
(5412, '2021:08:17:15:41:13', '2021:08:17:15:41:13', 'R')
(5416, '2021:08:17:15:41:13', '2021:08:17:15:41:13', 'L')
(5428, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'L')
(5429, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'L')
(5430, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'L')
(5431, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'R')
(5434, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'L')
(5439, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'R')
(5440, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'R')
(5444, '2021:08:17:15:41:14', '2021:08:17:15:41:14', 'R')
(3509, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(2410, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'L')
(2415, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'L')
(2418, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'R')
(2423, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'L')
(2428, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2429, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2430, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2431, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2432, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2433, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2434, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2435, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2442, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2443, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2447, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2456, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2457, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2461, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2462, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2472, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2478, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2483, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2484, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2488, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2490, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'R')
(2496, '2021:08:12:13:41:01', '2021:08:12:13:41:01', 'L')
(2703, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2704, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2711, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2722, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2727, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2730, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2733, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2734, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2735, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2736, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2740, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2742, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2746, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2748, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
